istanza,N,alpha,piano,espansi,valutati,tempo_s,esito
P06,; N=,; AL=,-,-,-,-,NO-SOL/ERR
P10,; N=; N=,; AL=; AL=,-,-,-,-,NO-SOL/ERR
P13,; N=; N=; N=,; AL=; AL=; AL=,-,-,-,-,NO-SOL/ERR
P16,; N=; N=; N=; N=,; AL=; AL=; AL=; AL=,-,-,-,-,NO-SOL/ERR
P22,; N=; N=; N=; N=; N=,; AL=; AL=; AL=; AL=; AL=,-,-,-,-,NO-SOL/ERR
P30,; N=; N=; N=; N=; N=; N=,; AL=; AL=; AL=; AL=; AL=; AL=,-,-,-,-,NO-SOL/ERR
P40,; N=; N=; N=; N=; N=; N=; N=,; AL=; AL=; AL=; AL=; AL=; AL=; AL=,-,-,-,-,NO-SOL/ERR
P50,; N=; N=; N=; N=; N=; N=; N=; N=,; AL=; AL=; AL=; AL=; AL=; AL=; AL=; AL=,-,-,-,-,NO-SOL/ERR
P68,; N=; N=; N=; N=; N=; N=; N=; N=; N=,; AL=; AL=; AL=; AL=; AL=; AL=; AL=; AL=; AL=,-,-,-,-,NO-SOL/ERR
P100,; N=; N=; N=; N=; N=; N=; N=; N=; N=; N=,; AL=; AL=; AL=; AL=; AL=; AL=; AL=; AL=; AL=; AL=,-,-,-,-,NO-SOL/ERR
P150,; N=; N=; N=; N=; N=; N=; N=; N=; N=; N=; N=,; AL=; AL=; AL=; AL=; AL=; AL=; AL=; AL=; AL=; AL=; AL=,-,-,-,-,NO-SOL/ERR
