istanza,N,E,alpha,piano,espansi,valutati,tempo_s,esito
P06,8,11,-,7,23,24,0.026581,OK
P10,12,18,-,19,20,21,0.041640,OK
P13,12,18,-,16,32,33,0.058949,OK
P16,18,24,-,24,257,258,0.665169,OK
P22,22,34,-,29,35,36,0.144746,OK
P30,30,41,-,36,544,545,3.309000,OK
P40,42,62,-,64,102,103,1.194697,OK
P50,52,84,-,99,41647,41648,650.649007,OK
P68,70,102,-,96,40610,40611,1070.513171,OK
P100,102,118,-,8,8,9,0.572432,OK
P150,152,186,-,32,44,45,6.377676,OK
