istanza,N,E,alpha,piano,espansi,valutati,tempo_s,esito
N_22__graph_03__DNTP_instance__alpha_0.600__k_019,22,38,0.600,20,7482,7483,32.062421,OK
N_22__graph_03__DNTP_instance__alpha_1.000__k_030,22,39,1.000,26,92,93,0.425646,OK
N_22__graph_03__DNTP_instance__alpha_1.400__k_043,22,41,1.400,39,14187,14188,59.477728,OK
N_22__graph_03__DNTP_instance__alpha_1.800__k_054,22,44,1.800,47,15841,15842,66.350599,OK
N_22__graph_04__DNTP_instance__alpha_0.200__k_006,22,32,0.200,6,6,7,0.035651,OK
N_22__graph_04__DNTP_instance__alpha_0.600__k_018,22,36,0.600,16,20,21,0.099506,OK
N_22__graph_04__DNTP_instance__alpha_1.000__k_029,22,38,1.000,23,24,25,0.120535,OK
N_22__graph_04__DNTP_instance__alpha_1.400__k_041,22,42,1.400,39,11247,11248,48.190737,OK
N_22__graph_04__DNTP_instance__alpha_1.800__k_053,22,46,1.800,56,10999,11000,51.093733,OK
N_22__graph_05__DNTP_instance__alpha_0.200__k_007,22,34,0.200,7,8,9,0.043329,OK
N_22__graph_05__DNTP_instance__alpha_0.600__k_019,22,36,0.600,19,8004,8005,33.318569,OK
N_22__graph_05__DNTP_instance__alpha_1.000__k_031,22,39,1.000,29,70,71,0.320034,OK
N_22__graph_05__DNTP_instance__alpha_1.400__k_044,22,44,1.400,41,12150,12151,50.130611,OK
N_22__graph_05__DNTP_instance__alpha_1.800__k_056,22,47,1.800,52,17351,17352,72.464734,OK
N_8__graph_01__DNTP_instance__alpha_0.200__k_003,8,13,0.200,2,3,4,0.006615,OK
N_8__graph_01__DNTP_instance__alpha_0.600__k_008,8,14,0.600,8,12,13,0.017215,OK
N_8__graph_01__DNTP_instance__alpha_1.000__k_013,8,15,1.000,10,16,17,0.021120,OK
N_8__graph_01__DNTP_instance__alpha_1.400__k_019,8,17,1.400,17,21,22,0.027471,OK
N_8__graph_01__DNTP_instance__alpha_1.800__k_024,8,18,1.800,19,3137,3138,3.328634,OK
N_8__graph_02__DNTP_instance__alpha_0.200__k_003,8,13,0.200,3,3,4,0.006780,OK
N_8__graph_02__DNTP_instance__alpha_0.600__k_007,8,14,0.600,6,6,7,0.010425,OK
N_8__graph_02__DNTP_instance__alpha_1.000__k_011,8,14,1.000,7,9,10,0.014070,OK
N_8__graph_02__DNTP_instance__alpha_1.400__k_016,8,14,1.400,11,16,17,0.021770,OK
N_8__graph_02__DNTP_instance__alpha_1.800__k_020,8,16,1.800,14,1746,1747,1.839752,OK
N_8__graph_03__DNTP_instance__alpha_0.200__k_003,8,13,0.200,3,3,4,0.006654,OK
N_8__graph_03__DNTP_instance__alpha_0.600__k_008,8,14,0.600,7,7,8,0.011517,OK
N_8__graph_03__DNTP_instance__alpha_1.000__k_012,8,16,1.000,11,1829,1830,2.052286,OK
N_8__graph_03__DNTP_instance__alpha_1.400__k_017,8,17,1.400,17,29,30,0.042329,OK
N_8__graph_03__DNTP_instance__alpha_1.800__k_022,8,18,1.800,20,245,246,0.282627,OK
N_8__graph_04__DNTP_instance__alpha_0.200__k_003,8,13,0.200,3,3,4,0.006756,OK
N_8__graph_04__DNTP_instance__alpha_0.600__k_007,8,14,0.600,7,14,15,0.019711,OK
N_8__graph_04__DNTP_instance__alpha_1.000__k_011,8,14,1.000,12,18,19,0.024483,OK
N_8__graph_04__DNTP_instance__alpha_1.400__k_016,8,16,1.400,17,28,29,0.036107,OK
N_8__graph_04__DNTP_instance__alpha_1.800__k_020,8,17,1.800,21,37,38,0.045825,OK
N_8__graph_05__DNTP_instance__alpha_0.200__k_003,8,13,0.200,3,26,27,0.031185,OK
N_8__graph_05__DNTP_instance__alpha_0.600__k_008,8,14,0.600,6,102,103,0.113687,OK
N_8__graph_05__DNTP_instance__alpha_1.000__k_012,8,15,1.000,10,1403,1404,1.532590,OK
N_8__graph_05__DNTP_instance__alpha_1.400__k_017,8,15,1.400,12,134,135,0.146997,OK
N_8__graph_05__DNTP_instance__alpha_1.800__k_022,8,16,1.800,16,120,121,0.122266,OK
