istanza,N,alpha,piano,espansi,valutati,tempo_s,esito
N_22__graph_02__DNTP_instance__alpha_1.800__k_051,22; N=22; N=22; N=22; N=22; N=22; N=22; N=22; N=22; N=22; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=,1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=,41,61,1115,4.848546,OK
N_22__graph_03__DNTP_instance__alpha_0.200__k_006,22; N=22; N=22; N=22; N=22; N=22; N=22; N=22; N=22; N=22; N=22; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=,0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=,6,7,175,0.729633,OK
N_22__graph_03__DNTP_instance__alpha_0.600__k_019,22; N=22; N=22; N=22; N=22; N=22; N=22; N=22; N=22; N=22; N=22; N=22; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=,0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=,19,22,573,2.520780,OK
N_22__graph_03__DNTP_instance__alpha_1.000__k_030,22; N=22; N=22; N=22; N=22; N=22; N=22; N=22; N=22; N=22; N=22; N=22; N=22; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=,1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=,24,25,731,3.111055,OK
N_22__graph_03__DNTP_instance__alpha_1.400__k_043,22; N=22; N=22; N=22; N=22; N=22; N=22; N=22; N=22; N=22; N=22; N=22; N=22; N=22; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=,1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=,34,45,965,4.103534,OK
N_22__graph_03__DNTP_instance__alpha_1.800__k_054,22; N=22; N=22; N=22; N=22; N=22; N=22; N=22; N=22; N=22; N=22; N=22; N=22; N=22; N=22; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=,1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=,43,64,1373,5.807716,OK
N_22__graph_04__DNTP_instance__alpha_0.200__k_006,22; N=22; N=22; N=22; N=22; N=22; N=22; N=22; N=22; N=22; N=22; N=22; N=22; N=22; N=22; N=22; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=,0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=,6,7,159,0.639906,OK
N_22__graph_04__DNTP_instance__alpha_0.600__k_018,22; N=22; N=22; N=22; N=22; N=22; N=22; N=22; N=22; N=22; N=22; N=22; N=22; N=22; N=22; N=22; N=22; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=,0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=,15,16,396,1.664718,OK
N_22__graph_04__DNTP_instance__alpha_1.000__k_029,22; N=22; N=22; N=22; N=22; N=22; N=22; N=22; N=22; N=22; N=22; N=22; N=22; N=22; N=22; N=22; N=22; N=22; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=,1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=,23,24,641,2.751212,OK
N_22__graph_04__DNTP_instance__alpha_1.400__k_041,22; N=22; N=22; N=22; N=22; N=22; N=22; N=22; N=22; N=22; N=22; N=22; N=22; N=22; N=22; N=22; N=22; N=22; N=22; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=,1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=,42,57,1342,5.885355,OK
N_22__graph_04__DNTP_instance__alpha_1.800__k_053,22; N=22; N=22; N=22; N=22; N=22; N=22; N=22; N=22; N=22; N=22; N=22; N=22; N=22; N=22; N=22; N=22; N=22; N=22; N=22; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=,1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=,46,73,1984,8.879192,OK
N_22__graph_05__DNTP_instance__alpha_0.200__k_007,22; N=22; N=22; N=22; N=22; N=22; N=22; N=22; N=22; N=22; N=22; N=22; N=22; N=22; N=22; N=22; N=22; N=22; N=22; N=22; N=22; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=,0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=,7,8,222,0.948280,OK
N_22__graph_05__DNTP_instance__alpha_0.600__k_019,22; N=22; N=22; N=22; N=22; N=22; N=22; N=22; N=22; N=22; N=22; N=22; N=22; N=22; N=22; N=22; N=22; N=22; N=22; N=22; N=22; N=22; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=,0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=,17,20,561,2.357093,OK
N_22__graph_05__DNTP_instance__alpha_1.000__k_031,22; N=22; N=22; N=22; N=22; N=22; N=22; N=22; N=22; N=22; N=22; N=22; N=22; N=22; N=22; N=22; N=22; N=22; N=22; N=22; N=22; N=22; N=22; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=,1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=,28,32,815,3.537769,OK
N_22__graph_05__DNTP_instance__alpha_1.400__k_044,22; N=22; N=22; N=22; N=22; N=22; N=22; N=22; N=22; N=22; N=22; N=22; N=22; N=22; N=22; N=22; N=22; N=22; N=22; N=22; N=22; N=22; N=22; N=22; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=,1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=,38,42,1198,5.193540,OK
N_22__graph_05__DNTP_instance__alpha_1.800__k_056,22; N=22; N=22; N=22; N=22; N=22; N=22; N=22; N=22; N=22; N=22; N=22; N=22; N=22; N=22; N=22; N=22; N=22; N=22; N=22; N=22; N=22; N=22; N=22; N=22; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=,1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=,51,94,1668,7.389556,OK
N_8__graph_01__DNTP_instance__alpha_0.200__k_003,8; N=22; N=22; N=22; N=22; N=22; N=22; N=22; N=22; N=22; N=22; N=22; N=22; N=22; N=22; N=22; N=22; N=22; N=22; N=22; N=22; N=22; N=22; N=22; N=22; N=22; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=,0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=,2,3,23,0.028083,OK
